content,score,sentiment_polarity,sentiment_subjective,sentiment_rating,review_without_stopwords
ini satu perusahaan sama pt bca bukan sih? developernya di google play ini beda sama mybca halobca jadi ragu mau instal,3,0.0,0.0,Neutral,perusahaan pt bca sih? developernya google play beda mybca halobca ragu instal
kode verifikasi tidak pernah dikirimkan..sudah mengulang sampai 3 hari tetap saja sama. tidak butuh nasabah ya..,2,0.0,0.0,Negative,kode verifikasi dikirimkan..sudah mengulang 3 sama. butuh nasabah ya..
"okay, sudah ada biaya admin. auto uninstall!",1,0.625,0.5,Negative,"okay, biaya admin. auto uninstall!"
"oke,cepat dan mudah",5,0.0,0.0,Positive,"oke,cepat mudah"
i love it!,5,0.625,0.6,Positive,love it!
convenient & easy to use,5,0.43333333333333335,0.8333333333333334,Positive,convenient & easy use
"selfie muka setenga mati ainya nga bner itu ... rubah k manual selfie sendiri, disusahin banget ambil selfie uda ky mo pinjam uang aja kita tabung tooh . selama dapet muka langsung approve asal nga pake kacamata dan masuk d lingkaran... bnrin ai sistemnya",1,0.0,0.0,Negative,"selfie muka setenga mati ainya nga bner ... rubah k manual selfie sendiri, disusahin banget ambil selfie uda ky mo pinjam uang tabung tooh . dapet muka langsung approve nga pake kacamata masuk lingkaran... bnrin ai sistemnya"
"awal doang enak, skrg setor/tarik tunai kena admin.",2,0.0,0.0,Negative,"doang enak, skrg setor/tarik tunai kena admin."
"sangat mudah pemakaian, ada rewards ketika pakai qris, makin suka setelah ada loyalty kategori",5,0.0,0.0,Positive,"mudah pemakaian, rewards pakai qris, suka loyalty kategori"
"transfer ke bca sekarang kena biaya, bgtu juga tarik tunai di atm bca.. mendingan pake sopipay gratis tnp kena biaya",1,0.0,0.0,Negative,"transfer bca kena biaya, bgtu tarik tunai atm bca.. mendingan pake sopipay gratis tnp kena biaya"
customer servicenya tidak membantu sama sekali,1,0.0,0.0,Negative,customer servicenya membantu
"sejauh ini nyaman pakai blu, untuk transaksi sehari hari dan mencatat pengeluaran menggunakan kantong terpisah. tingkatkan lagi fitur-fitur lainnya ditunggu ya.",5,0.0,0.0,Positive,"nyaman pakai blu, transaksi sehari mencatat pengeluaran kantong terpisah. tingkatkan fitur-fitur ditunggu ya."
"notifikasinya jangan pakai suara orang dong. walau suara hp dikecilkan, tetep ngagetin ada suara orang di hp saya",1,0.0,0.0,Negative,"notifikasinya pakai suara orang dong. suara hp dikecilkan, tetep ngagetin suara orang hp"
"mohon apabila ada pembaruan syarat dan ketentuan, diberi highlight di bagian mana yang baru. kami harus membaca syarat dan ketentuan, tapi jangan memberatkan kami dengan meneliti satu per satu di bagian mana syarat dan ketentuan setiap kali ada pembaruan. terima kasih",5,0.0,0.0,Positive,"mohon pembaruan syarat ketentuan, highlight baru. membaca syarat ketentuan, memberatkan meneliti syarat ketentuan kali pembaruan. terima kasih"
virtual accountnya gak bisa .,3,0.0,0.0,Neutral,virtual accountnya .
awalnya enak. abis update tiba2 kelogout dan gagal verifikasi wajah,3,0.0,0.0,Neutral,enak. abis update tiba2 kelogout gagal verifikasi wajah
aplikasi jelek. terlalu banyak animasi nggak fungsi.,1,0.0,0.0,Negative,aplikasi jelek. animasi nggak fungsi.
mantap,5,0.0,0.0,Positive,mantap
"sudah ngga bagus lagi, buruk malahan.",1,0.0,0.0,Negative,"ngga bagus lagi, buruk malahan."
"payah, sekarang tarik cash dikenakan biaya 3500",3,0.0,0.0,Neutral,"payah, tarik cash dikenakan biaya 3500"
sangan membantu dalam mengorganisir keuangan,5,0.0,0.0,Positive,sangan membantu mengorganisir keuangan
"terima kasih , aplikasi mudah dipakai....",5,0.0,0.0,Positive,"terima kasih , aplikasi mudah dipakai...."
you must provide it,5,0.0,0.0,Positive,must provide
top,5,0.5,0.5,Positive,top
"aplikasi bank digital yang ramah user interfacenya. gampang dioperasikan. dengan bca sebagai induk usahanya, jadi tenang menggunakan aplikasi ini.",5,0.0,0.0,Positive,"aplikasi bank digital ramah user interfacenya. gampang dioperasikan. bca induk usahanya, tenang aplikasi ini."
topp,5,0.0,0.0,Positive,topp
good app,5,0.7,0.6000000000000001,Positive,good app
"app banking yg paling jelek perna saya pakai, paling banyak error, sering banget ga bisa buka, ga bisa transfer. uang semua tertahan didalam, ga bisa apa2in.. jadi serem mau pake blu",1,0.0,0.0,Negative,"app banking jelek perna pakai, error, banget buka, transfer. uang tertahan didalam, apa2in.. serem pake blu"
"app ga guna, masuk aja crash. transfer masuk bisa, tp mau bayar pake qris, transfer dana semua nya ga bisa.. aplikasiny dibuang aja. ga guna banget. merugikan pelanggan, login aja ga bs utk hp infinix hot20s padahal app bank lain semua bs ga ad problem.",1,0.0,0.0,Negative,"app guna, masuk crash. transfer masuk bisa, tp bayar pake qris, transfer dana bisa.. aplikasiny dibuang aja. banget. merugikan pelanggan, login bs utk hp infinix hot20s app bank bs ad problem."
"great apps ! banyak cashback nih manteps bgt , semoga makin jaya yaah !!",5,1.0,0.75,Positive,"great apps ! cashback nih manteps bgt , semoga jaya yaah !!"
"so far oke, ga ada kendala. top up, transfer, pindah dana semua aman",5,0.3,0.75,Positive,"far oke, kendala. top up, transfer, pindah dana aman"
so far oke tidak ada kendala 👍🏻,5,0.1,1.0,Positive,far oke kendala 👍🏻
"cepet, dapat cashback",5,0.0,0.0,Positive,"cepet, cashback"
"aplikasinya masih lamban, animasi di app nya terasa berat, loading antara setiap halaman jadi lama.. gimmick avatar hapus aja kurang bermanfaat",3,0.0,0.0,Neutral,"aplikasinya lamban, animasi app berat, loading halaman lama.. gimmick avatar hapus bermanfaat"
okkeeeey,5,0.0,0.0,Positive,okkeeeey
sangat mudah penggunaannya. mohon ditambahkan pengisian kartu flazz bca.,5,0.0,0.0,Positive,mudah penggunaannya. mohon pengisian kartu flazz bca.
"awalnya saya happy menggunakan blu bca digital..tapi makin kesini layanannya semua serba berbayar..bank macam apa yang menarik biaya sebesar rp 3500,- untuk penarikan uang tunai di atm bca yang notabene adalah masih satu group dengan blu bca digital",1,0.4,0.5,Negative,"happy blu bca digital..tapi kesini layanannya serba berbayar..bank menarik biaya rp 3500,- penarikan uang tunai atm bca notabene group blu bca digital"
make me easier for international purchase,5,0.0,0.0,Positive,make easier international purchase
keren,5,0.0,0.0,Positive,keren
ok,5,0.5,0.5,Positive,ok
nice,5,0.6,1.0,Positive,nice
"tidak bisa mengganti password. stuck di: ""mohon menunggu"" thanks for response. sudah dilakukan. internet jaringan lte, menggunakan nomor yang digunakan untuk blu, reninstall app, clear cache.",4,0.15,0.29166666666666663,Positive,"mengganti password. stuck di: ""mohon menunggu"" thanks response. dilakukan. internet jaringan lte, nomor blu, reninstall app, clear cache."
"lemot, masa mau transfer 215rb doang ribet bngt pake verifikasi wajah, hadap kiri hadap kanan",1,0.0,0.0,Negative,"lemot, transfer 215rb doang ribet bngt pake verifikasi wajah, hadap kiri hadap kanan"
wah aplikasinya sering crash akhir² ini,3,0.0,0.0,Neutral,aplikasinya crash akhir²
virtual account tidak bisa digunakan,2,0.0,0.0,Negative,virtual account
"maaf saya ganti bintang 1, belum apa-apa sudah ada biaya admin yang cukup besar untuk transaksi tarik tunai cardless. kecewa dengam ketentuan barunya.",1,0.0,0.0,Negative,"maaf ganti bintang 1, apa-apa biaya admin transaksi tarik tunai cardless. kecewa dengam ketentuan barunya."
"tarik dan setor tunai sekarang dikenakan biaya,padshal sesama bca loh",1,0.0,0.0,Negative,"tarik setor tunai dikenakan biaya,padshal bca loh"
serius skr tarik tunai kena biaya?? klo iya saya uninstall segera,1,0.0,0.0,Negative,serius skr tarik tunai kena biaya?? klo iya uninstall
"i use bca digital bcs of there's lots of admin payment. but today, gilack coi semua muanya diadminin topup kena admin, tf kena admin, tartun kena admin. ga ngotak lg adminnya buat seukuran mahasiswa perantau. sorry i'll stop using blu by bca digital for now on.",1,-0.16666666666666666,0.3333333333333333,Negative,"use bca digital bcs there's lots admin payment. today, gilack coi muanya diadminin topup kena admin, tf kena admin, tartun kena admin. ngotak lg adminnya seukuran mahasiswa perantau. sorry stop using blu bca digital on."
"apknya ga berat, ui simple, mantap pokonya, ya meski ada kendala ketika beli pulsa malah diproses terus.",5,0.0,0.35714285714285715,Positive,"apknya berat, ui simple, mantap pokonya, ya kendala beli pulsa diproses terus."
mau setor tunai mesti bayar,1,0.0,0.0,Negative,setor tunai mesti bayar
"udah daftar bikin akun, tapi terus aja akun anda sedang si proses. kapan beres nya",1,0.0,0.0,Negative,"udah daftar bikin akun, akun si proses. beres"
awesome,5,1.0,1.0,Positive,awesome
"mau transfer dana gagal terus katanya sistemnya ga nyambung..ga paham, dana saya di blu mau diambil susah banget, open blu aja susah sering banget gagal",1,0.0,0.5,Negative,"transfer dana gagal sistemnya nyambung..ga paham, dana blu diambil susah banget, open blu susah banget gagal"
"udah lama pake blu, tapi kebijakan sekarang blunder parah. emang ga ada biaya admin perbulannya. dan untuk top up e-money masih ngerti lah kalo ada biaya admin. tapi fitur unggulannya bisa tarik cashless di semua atm bca sekarang juga ada biaya admin 3500! buat apa ada embel-embel bca nya kalo narik di atm bca aja di kenain admin. thanks blu, saatnya unisntall balik lagi ke bca",1,0.4125,0.35,Negative,"udah pake blu, kebijakan blunder parah. emang biaya admin perbulannya. top e-money ngerti kalo biaya admin. fitur unggulannya tarik cashless atm bca biaya admin 3500! embel-embel bca kalo narik atm bca kenain admin. thanks blu, unisntall bca"
tarik tunai kena admin 3.500 setor tunai kena admin 3500 transfer ke sesama bca kena 6500...matre sekali ini aplikasi...tutup rekening laaah...bye...sekian...,1,0.0,0.0,Negative,tarik tunai kena admin 3.500 setor tunai kena admin 3500 transfer bca kena 6500...matre aplikasi...tutup rekening laaah...bye...sekian...
ini virtual account mau dibuka kapan saya harus bayar wifi hadehhh,2,0.0,0.0,Negative,virtual account dibuka bayar wifi hadehhh
very easy to use,5,0.5633333333333334,1.0,Positive,easy use
"awalnya ringan, makin lama makin berat, sama aja kayak bank j, mau masuk aja loading lama betul bahkan gagal berkali2",3,0.0,0.0,Neutral,"ringan, berat, kayak bank j, masuk loading gagal berkali2"
beberapa kali transaksi gagal terus saat pengenalan wajah. wajah tidak dikenali dan diblokir 60 menit. rasanya pengen gue bakar ni kantor blu,1,0.0,0.0,Negative,kali transaksi gagal pengenalan wajah. wajah dikenali diblokir 60 menit. pengen gue bakar ni kantor blu
"awalnya yg menarik adalah karena bisa setting nomor rek sendiri, setelah jadi malah berubah. so uninstall, sori ya.",3,0.0,0.0,Neutral,"menarik setting nomor rek sendiri, berubah. uninstall, sori ya."
"useless, banya error banyak bug, masa mau transfer ke induk banknya sendiri (bca) kena biaya juga, lawak lo, mending pake yang lain",1,-0.5,0.2,Negative,"useless, banya error bug, transfer induk banknya (bca) kena biaya juga, lawak lo, mending pake"
setor tunai dan tarik tunai sekarang ada kuota nya...,1,0.0,0.0,Negative,setor tunai tarik tunai kuota nya...
"biaya potongan tarik tunai terlalu mahal,3.500/transaksi. tidak ada gunanya lagi rekening digital yg memudahkan kita tarik tunai kapan saja. terpaksa harus berhenti pakai blu bca digital.",4,0.0,0.0,Positive,"biaya potongan tarik tunai mahal,3.500/transaksi. gunanya rekening digital memudahkan tarik tunai saja. terpaksa berhenti pakai blu bca digital."
"tarik tunai kok pake admin, padahal di atm bca itu sendiri, lol🤣",1,0.0,0.0,Negative,"tarik tunai pake admin, atm bca sendiri, lol🤣"
"setelah melalui serangkaian update, blu semakin gak jelas arahnya. malah nambah fitur yang gak terlalu penting. e-statement masih jauh dari kata informatif. detail bunga yang masuk tiap bulan ke blu saving juga seadanya. sekarang, lewat program gaje cuma kasih kuota minim setor/tarik tunai dengan ketentuan menyulitkan",3,0.0,0.0,Neutral,"serangkaian update, blu arahnya. nambah fitur penting. e-statement informatif. detail bunga masuk blu saving seadanya. sekarang, program gaje kasih kuota minim setor/tarik tunai ketentuan menyulitkan"
"bca digital ga ada benefitnya sama sekali dan ribet, dan apalagi virtual account ga bisa juga makin ga ada benefitnya. mendingan bank digital lainnya, lebih benefit dan simple seperti seabank, dll.",1,0.0,0.11904761904761905,Negative,"bca digital benefitnya ribet, virtual account benefitnya. mendingan bank digital lainnya, benefit simple seabank, dll."
"tarik tunai kena biaya? hari ini kosongin saldo, balik ke bca lg.",1,0.0,0.0,Negative,"tarik tunai kena biaya? kosongin saldo, bca lg."
ke bca virtual account tidak gratis lagi.... 😭😭😭,1,0.0,0.0,Negative,bca virtual account gratis lagi.... 😭😭😭
"ui bagus, tapi tolong perbaiki fitur bca virtual account-nya",3,0.0,0.0,Neutral,"ui bagus, tolong perbaiki fitur bca virtual account-nya"
"try to open it, but it always show that my network is bad but my wi fi or my mobile data were fine",3,-0.09444444444444439,0.5555555555555555,Neutral,"try open it, always show network bad wi fi mobile data fine"
dulu the best skrg worst. why? tarik dan setor ada biaya :),1,0.16666666666666666,0.7666666666666666,Negative,best skrg worst. why? tarik setor biaya :)
"i thnk quota cash from atm is small amount, i want close my account",1,-0.25,0.4,Negative,"thnk quota cash atm small amount, want close account"
"udah ga bisa transfer ke bca va sekarang transfer ke bca malah kena biaya admin. bye blu, saya balik ke mbank bca. aplikasi ga guna #uninstallblu",1,0.0,0.0,Negative,"udah transfer bca va transfer bca kena biaya admin. bye blu, mbank bca. aplikasi #uninstallblu"
secara fitur bagus. tapi sepertinya backend developer nya perlu digembleng biar kerjanya maksimal.,1,0.0,0.0,Negative,fitur bagus. backend developer digembleng biar kerjanya maksimal.
babi! dimatiin terus setiap mau vc padahal internet lancar,1,0.0,0.0,Negative,babi! dimatiin vc internet lancar
wkwkkw tarik tunai kena 3500,1,0.0,0.0,Negative,wkwkkw tarik tunai kena 3500
"awalnya setor tarik tunai gratis, sekarang jadi bayar. udah ga ada benefit apapun lagi",1,0.0,0.0,Negative,"setor tarik tunai gratis, bayar. udah benefit apapun"
"aplikasi ini sempat saya install karena pada saat cari tau ttg buka rekening bca bisa via aplikasi, di google langsung arahkan ke blu ini... luckily nga saya buka rekening via blu ini. barusan sy tlp ke halobca - blu >> menanyakan hal ini.. ternyata ini bukan murni bca tp anak perusahaan bca yg dimana semacam virtual bank tersendiri. sempat kepikiran mau buka rekening blu, tp ternyata yg bikin konyol masa setor tunai ada dikenakan biaya? 😱😱😱",1,0.3333333333333333,0.8333333333333334,Negative,"aplikasi install cari tau ttg buka rekening bca via aplikasi, google langsung arahkan blu ini... luckily nga buka rekening via blu ini. barusan sy tlp halobca - blu >> ini.. murni bca tp anak perusahaan bca dimana virtual bank tersendiri. kepikiran buka rekening blu, tp bikin konyol setor tunai dikenakan biaya? 😱😱😱"
"buset gila bener, w dh langganan bli lbh dr 2tahun , baru x ini komplen masa mau tarik tunai dan setor tunsi kna biaya tambaha 3500/transaksi sdangkan narik max 1.250.000 lu bayangin w rugi brpa klo pas mw ambl 10.0000, , ,hadehhh parah""",1,0.0,0.0,Negative,"buset gila bener, w dh langganan bli lbh dr 2tahun , x komplen tarik tunai setor tunsi kna biaya tambaha 3500/transaksi sdangkan narik max 1.250.000 lu bayangin w rugi brpa klo pas mw ambl 10.0000, , ,hadehhh parah"""
"mudah dan gak ribet, dr awal gak dtg ke bank bs lsg transaksi",5,0.0,0.0,Positive,"mudah ribet, dr dtg bank bs lsg transaksi"
kebijakan baru sangat jelek sekali. tarik dan setor tunai sebulan cuma gratis 2x? saatnya uninstall dan pindah ke bank digital lain. terima kasih,1,0.0,0.0,Negative,kebijakan jelek sekali. tarik setor tunai sebulan gratis 2x? uninstall pindah bank digital lain. terima kasih
hopefully,5,0.0,0.0,Positive,hopefully
"-gile, narik duit / masukkin duit di atm bca kena biaya rp3.500. sudahlah atm bank sendiri kagak ada, eh narik di atm saudara sendiri malah kena biaya. aneh banget jadi bank. -beli paket data tri bukannya mudah malah mampus karena eror di tahap ""transaksi diproses"" mulu. gak bisa dibatalkan/auto batal dalam 30mnt pula kalo udah beli, nyangkut dah tu duit. bank kok kalah ama gopay/ go-jek yang beli paket data langsung catcus selesai gak pake lama.",1,0.0,0.0,Negative,"-gile, narik duit / masukkin duit atm bca kena biaya rp3.500. atm bank kagak ada, eh narik atm saudara kena biaya. aneh banget bank. -beli paket data tri mudah mampus eror tahap ""transaksi diproses"" mulu. dibatalkan/auto batal 30mnt kalo udah beli, nyangkut dah tu duit. bank kalah ama gopay/ go-jek beli paket data langsung catcus selesai pake lama."
"per juli 2023, jadi berbayar untuk tarik tunai dan setor tunai di atm bca. ga asik kak 😭. walau ada loyalty program, ga cukup kak... 😪😪. terbatas..",1,0.0,0.0,Negative,"juli 2023, berbayar tarik tunai setor tunai atm bca. asik kak 😭. loyalty program, kak... 😪😪. terbatas.."
"it's a good app, but i can't get in the virtual account option",4,0.7,0.6000000000000001,Positive,"good app, can't get virtual account option"
"makin hari udah benefit user makin dipangkas, sekarang malah duit gak bisa ditransfer dengan alasan kendala jaringan. jelas² internet lancar kencang buat hal lain aman semua. berarti udah bener lah mantep niat saya untuk pindah ke bank jago.",1,0.0,0.0,Negative,"udah benefit user dipangkas, duit ditransfer alasan kendala jaringan. jelas² internet lancar kencang aman semua. udah bener mantep niat pindah bank jago."
makin parah mau narik uang sendiri dipersulit jaringan dll,1,0.0,0.0,Negative,parah narik uang dipersulit jaringan dll
yahh putus.. yahh putus.. yahh putus.. coba lagi.. coba lagi.. coba lagi.. silahkan cek mutasi rekening kamu yuk..,1,0.0,0.0,Negative,yahh putus.. yahh putus.. yahh putus.. coba lagi.. coba lagi.. coba lagi.. silahkan cek mutasi rekening yuk..
"verifikasi email selalu ga dapat kodenya, aplikasi kadang ga responsif. kagak usah suruh kontak cs, udah kontak cs tapi tidak solutif. beda kualitas dengan bca induk",2,0.0,0.0,Negative,"verifikasi email kodenya, aplikasi kadang responsif. kagak suruh kontak cs, udah kontak cs solutif. beda kualitas bca induk"
gagal daftar karena hanya loading,1,0.0,0.0,Negative,gagal daftar loading
jadi banyak biaya adminnya?!!,3,0.0,0.0,Neutral,biaya adminnya?!!
the ui it takes time to loading,4,0.0,0.0,Positive,ui takes time loading
"plis jangan update sensering ini soalnya ganggu banget, pas mau transaksi eh harus update dulu kan riweh",2,0.0,0.0,Negative,"plis update sensering ganggu banget, pas transaksi eh update riweh"
"kenapa setelah update aplikasi, malahan aplikasi nya ga mau di buka???",1,0.0,0.0,Negative,"update aplikasi, aplikasi buka???"
i need virtual account feature.,2,0.0,0.0,Negative,virtual account feature.
"aplikasi mudah dipakai😍😍 saat sempat bermasalah, customer care nya ceoat tanggap 💜💜",5,0.0,0.0,Positive,"aplikasi mudah dipakai😍😍 bermasalah, customer care ceoat tanggap 💜💜"
"tidak bisa transaksi, uang saya mengendap. jangan hanya bisa bilang maaf , perbaiki aplikasinya.",1,0.0,0.0,Negative,"transaksi, uang mengendap. bilang maaf , perbaiki aplikasinya."
"menyerah sudah,tidak bisa ganti email.semua kode di anggap salah,lbh baik cari bank lain saja",1,0.0,0.0,Negative,"menyerah sudah,tidak ganti email.semua kode anggap salah,lbh cari bank"
free transfer ke bank lain tidak berlaku lagi,1,0.4,0.8,Negative,free transfer bank berlaku
halooo kenapa transfer ke bca maupun sebaliknya harus membayar 2500?? kan kalian sama2 bca. kenapa kami dibebankan biaya untuk transfer nya??? mohon jawabannya. terimakasih,5,0.0,0.0,Positive,halooo transfer bca membayar 2500?? sama2 bca. dibebankan biaya transfer nya??? mohon jawabannya. terimakasih
selamat anda sukses membuat saya meng uninstall,1,0.0,0.0,Negative,selamat sukses meng uninstall
"sudah bagus bgt dan nyaman, tapi kendala saya tdk bisa login makai finger padahal awalnya bisa jadi saya kasi bintang 4 dulu ya blu hehe update : sudah bagus bgt skrng nyaman bgt make blu makasi min",5,0.0,0.0,Positive,"bagus bgt nyaman, kendala tdk login makai finger kasi bintang 4 ya blu hehe update : bagus bgt skrng nyaman bgt make blu makasi min"
"saya menggunakan aplikasi ini untuk menabung. kadang ada waktu harus memindahkan dana untuk operasional jualan online. sangat membantu mengalokasikan banyak hal. semoga tidak crash, karena aplikasi pilihan saya utama setelah bca appsnya 💖",4,0.0,0.0,Positive,"aplikasi menabung. kadang memindahkan dana operasional jualan online. membantu mengalokasikan hal. semoga crash, aplikasi pilihan utama bca appsnya 💖"
"very good app. hampir semua fitur ada di blu. rewards bulanan juga banyak, jadi ga perlu khawatir biaya admin bank. yg paling ku suka ada blusavings. tapi sejauh ini belum support pembayaran dari kai access",4,0.9099999999999999,0.7800000000000001,Positive,"good app. fitur blu. rewards bulanan banyak, khawatir biaya admin bank. ku suka blusavings. support pembayaran kai access"
"overall aplikasinya oke bgt, tapii waktu itu pernah pas mau bayar pake qris di kasir eh aplikasinya malah ngedown, itu lama bgt bikin antrian panjang, karena ga bawa cash yaudah akhirnya ga jadi beli, kejadian itu bikin malu bgt. oiya, ada opsi pake va bca, tapi herannya ga bisa dipake. huft.",3,0.0,0.0,Neutral,"overall aplikasinya oke bgt, tapii pas bayar pake qris kasir eh aplikasinya ngedown, bgt bikin antrian panjang, bawa cash yaudah beli, kejadian bikin malu bgt. oiya, opsi pake va bca, herannya dipake. huft."
kenapa transfer k bca harus kena bank charge??,1,0.0,0.0,Negative,transfer k bca kena bank charge??
"fitur fiturnya bagus, cuma sayang dari bca mobile cuma transfer kesini aja sekarang kena biaya 6500 idr. pdahal masih sesama bca",3,0.0,0.0,Neutral,"fitur fiturnya bagus, sayang bca mobile transfer kesini kena biaya 6500 idr. pdahal bca"
untuk upload dokumen npwp harus nya ada opsi upload dari hp langsung untuk mempermudah.,4,0.0,0.0,Positive,upload dokumen npwp opsi upload hp langsung mempermudah.
luar biasa,5,0.0,0.0,Positive,
"gimana mau login ini habis update malah disuruh daftar baru tidak ada opsi untuk login ke aplikasi, bener bener ini bank sangat tidak beres.",1,0.0,0.0,Negative,"gimana login habis update disuruh daftar opsi login aplikasi, bener bener bank beres."
"mau login ke akun lama, gegara update dah dibuat kenapa suruh bikin lg , :(",2,-0.75,1.0,Negative,"login akun lama, gegara update dah suruh bikin lg , :("
"mode screen locknya di hilangkan donk,kan ga semua orang pakai screen lock.krn nabung di blu,mau ga mau semua harus pakai patern screen lock.kan bisa di ganti password yg terdiri dari huruf dan angka.",3,0.0,0.0,Neutral,"mode screen locknya hilangkan donk,kan orang pakai screen lock.krn nabung blu,mau pakai patern screen lock.kan ganti password huruf angka."
"gara2 ini, jadi gak bisa pakai gopay, ovo, dana lagi di aplikasi mrt.",1,0.0,0.0,Negative,"gara2 ini, pakai gopay, ovo, dana aplikasi mrt."
terlalu lambat berfungsi!!!!,1,0.0,0.0,Negative,lambat berfungsi!!!!
i really enjoying blu by bca digital. thank you for making everything so easy. 💕,5,0.3111111111111111,0.4777777777777778,Positive,really enjoying blu bca digital. thank making everything easy. 💕
"parah lu, disuruh email gara2 ada kendala malah harus nunggu kotak surat admin kosong. pdhl kata halobcanya disaranin hrs segera dikirim biar cepat diproses",1,0.0,0.0,Negative,"parah lu, disuruh email gara2 kendala nunggu kotak surat admin kosong. pdhl halobcanya disaranin hrs dikirim biar cepat diproses"
"sekarang jadi sampah aplikasinya, mau setor tunai aja harus hadan depan hadap kanan dsb, mana banyak gagalnya, sampah!",1,0.0,0.0,Negative,"sampah aplikasinya, setor tunai hadan hadap kanan dsb, gagalnya, sampah!"
kembalikan tf gratis dari bca 😭😭😭😭😭😭,3,0.0,0.0,Neutral,kembalikan tf gratis bca 😭😭😭😭😭😭
"email verifikasi masuknya telat terus, link dgn tokocrypto putus terus. kacau bgt. sampe skrg gak bisa verif email, gk bs masukin proxy. kacau bgtttttttt",1,0.0,0.0,Negative,"email verifikasi masuknya telat terus, link dgn tokocrypto putus terus. kacau bgt. sampe skrg verif email, gk bs masukin proxy. kacau bgtttttttt"
sekarang kirim uang dari bca sendiri ke rekening blu sendiri pake biaya bosqu? perasaan dulu gratis,1,0.0,0.0,Negative,kirim uang bca rekening blu pake biaya bosqu? perasaan gratis
mantap,5,0.0,0.0,Positive,mantap
lemot bgt tolong benerin!!!,3,0.0,0.0,Neutral,lemot bgt tolong benerin!!!
fitur top up flazz sama bayar2 bajak ni kurang,4,0.5,0.5,Positive,fitur top flazz bayar2 bajak ni
"tolong diperbaiki bug verifikasi emailnya. masa expire kode otp adalah 5menit, sedangkan email baru terkirim setelah 7 menit. jadi kode otp sudah expire ketika dimasukan. terimakasih",3,0.0,0.0,Neutral,"tolong diperbaiki bug verifikasi emailnya. expire kode otp 5menit, email terkirim 7 menit. kode otp expire dimasukan. terimakasih"
sulit untuk verifikasi email. sampai sesi habis tidak ada email kode otp. berkali2 coba selalu email masuk lama sekali hampir 10 menit setelah request kirim ulang kode. tolong dibenahi,3,0.0,0.0,Neutral,sulit verifikasi email. sesi habis email kode otp. berkali2 coba email masuk 10 menit request kirim ulang kode. tolong dibenahi
mau ambil dana di rekening sendiri kok ngga bisa sistem alesan gangguan dll.!! ga bs konek dll..inget wooy ni bukan danamu.!!!,1,0.0,0.0,Negative,ambil dana rekening ngga sistem alesan gangguan dll.!! bs konek dll..inget wooy ni danamu.!!!
disuruh verifikasi email tapi susahnya minta ampun. sdh masukin nomor yg benar malah dibilang salah nomornya...buset dah...,1,0.0,0.0,Negative,disuruh verifikasi email susahnya ampun. sdh masukin nomor dibilang salah nomornya...buset dah...
easy bgt,5,0.43333333333333335,0.8333333333333334,Positive,easy bgt
"saya mau narik blusaving gak bisa terus, sudah saya cek saldo, cek kuota, cek storage hp, masih aja ga bisa.. alhasil saya harus pake pinjol untuk keperluan mendesak. merepotkan banget.",2,0.0,0.0,Negative,"narik blusaving terus, cek saldo, cek kuota, cek storage hp, bisa.. alhasil pake pinjol keperluan mendesak. merepotkan banget."
easy to use,5,0.43333333333333335,0.8333333333333334,Positive,easy use
aplikasi keuangan paling top dan helpfull yg pernah saya gunakan.. semoga makin banyak promo dan rewards unt pengguna setianya..,5,0.5,0.5,Positive,aplikasi keuangan top helpfull gunakan.. semoga promo rewards unt pengguna setianya..
moga membantu,5,0.0,0.0,Positive,moga membantu
"the app is great, i just think the notification sound is a bit annoying",5,0.1333333333333334,0.6833333333333332,Positive,"app great, think notification sound bit annoying"
otp sangat susah... aplikasi sangat jelek,1,0.0,0.0,Negative,otp susah... aplikasi jelek
berat aplikasi nya.. segera hire teknisi it yang jago.. maju terus blu,3,0.0,0.0,Neutral,berat aplikasi nya.. hire teknisi jago.. maju blu
kadang masih buffernya lama,4,0.0,0.0,Positive,kadang buffernya
susah banget verifikasi muka nya. bikin akun jadi terblokir. ke kantor bca nya tapi kata nya gak bisa bantu. harus telpon ke blu nya habisin pulsa. ogah taruh uang di apps begini. susah urusan nya nanti secara kantor bca nya sendiri gak bisa bantu.,1,0.0,0.0,Negative,susah banget verifikasi muka nya. bikin akun terblokir. kantor bca bantu. telpon blu habisin pulsa. ogah taruh uang apps begini. susah urusan kantor bca bantu.
good,5,0.7,0.6000000000000001,Positive,good
sangat puas,5,0.0,0.0,Positive,puas
pembayaran sat set cepet ga paje lama,5,0.0,0.0,Positive,pembayaran sat set cepet paje
"nggak bisa terhubung terus minggu minggu ini, koneksi terputus terus. padahal jago, lancar, mbca lancar.",2,0.0,0.0,Negative,"nggak terhubung minggu minggu ini, koneksi terputus terus. jago, lancar, mbca lancar."
mantap dapet casback terus setiap transaksi,5,0.0,0.0,Positive,mantap dapet casback transaksi
kebanyakan error,1,0.0,0.0,Negative,kebanyakan error
"sekarang makin lemot, apa apa harus vermuk enakan dulu",1,0.0,0.0,Negative,"lemot, vermuk enakan"
"busuk..., uang sendiri susah bener ambil.. sering crash",1,0.0,0.0,Negative,"busuk..., uang susah bener ambil.. crash"
