final_content,sentiment
layan bifast,positif
jelek narik duit dikenain tarif,negatif
bantu bnget atur uang,positif
mudah lengkap,positif
bayar bentuk apa bidang online ecomerce mudah lancar,positif
semaga depa smoth,positif
sambung putus internet lancar lawak nih,negatif
bikin akund suruh masuk pintapi gagal teruspadahal pin sesuaigimana sih nibikin pin seribet,negatif
baik dah ok sipdah jos gandos kotos kotos,positif
g byar virtual acount,negatif
lemot transfer jam subuh sampe siang masuk bobrok,negatif
bagus,positif
mudah cepat pasti gampang erti cangih simpan tabung aman,positif
bagus,positif
bagus sih telat buka,positif
lambat bagus,positif
habison kuwota x menit masuk kode tolong baik,negatif
oke mudah murah proses transaksi uang untung oleh recomended banget terimakasih,positif
bintang uang tengelam rb pakai beli pulsa apa,negatif
akun daftar aktif masuk gagal,negatif
scren lock masuk sih,negatif
tangal ulas pakai transfer bayar qris transaksi pakai transaksi pakai provider internet masalah baru tulis ulas mobile banking aman koneksi masalah apes bayar swalayan bikin malu antri untung saldo,negatif
kaya lambat ampun lambat tolong developer baik biar lancar kualitas biar pas transaksi gagal,negatif
ganti hp susah masuk,negatif
ok banget,positif
gangu puasapa limit hari,positif
optimalisasi undur mulu tunguin jam panjang mending info gtu nungu urgent,negatif
susah masuk yapadahal transaksi,positif
bagus pakai,negatif
sering eror ni,negatif
log in sambung putus ku ulang ulang tep kaya gitu,negatif
gangu kah,negatif
ampas lemot jgn dipake deh,negatif
sinyal bagus dipake terpksa tarik dana,negatif
berat loading lambat pakai wifi data moga depan baik,negatif
eror kerja aman si simpen duit hadeh,negatif
sistem eror kah,negatif
gagal jaring,negatif
bapuk pakai jam gin bayar masuk nyusahin,negatif
oi bikin aplikasidr td buka transfer gbsa jam muter gmo masuk,negatif
lambat sambung putus sinyal bagus,negatif
berat lambat sampe nungu menit bayar qris rak recomended tipu tipu ne tarik tunai gratis website eh pas tarik kena admin silet,negatif
love banget,positif
oke bantu,positif
manteb dipake ribet,positif
tahap buka rekeningdisuruh video cal admin angkaterus mati admin ni min,negatif
masuk ya mohon bantu,positif
berat hp kentang maf uninstal,negatif
transaksi coba lapor via twiter email calcenter haloblu laku tunjuk transaksi mohon bantu kecewa,negatif
transfer stor tunai bayar,positif
gajelas pas masuk putus mulu bagus up gopay gabisa gaje,negatif
lambat sampe salah transfer gara gara gagal transfer,negatif
verifikasi wajah buka rek gagal salah lakuin sesuai arah kali gitu,negatif
sip,positif
fre transfer lainribet kena biaya kalo fre syarat minimum saldomasih bagus permatabank fre transfer syarat fre biaya bulan atm,negatif
aneh gembor kartu debit launching launching wkwkwk,negatif
transfer ewalet nama,negatif
kali transaksi berturuturut bagus up ewalet pulsa kemarin landing beda beda baik layan sistem kecewa cari untung bye,negatif
god aplikasi,positif
ganti pin salalu gagal lambat hp,negatif
parah,negatif
masuk transfer tarik tunai saldo aneh eror buruk,negatif
mantapisan,positif
eror veriv wajah,negatif
bagus,positif
ny membantuproses ny n ribet,positif
wokeh,positif
bagus banget,positif
ok,positif
bagus tolong fitur verifikasi wajah adain simple,positif
bagus aplikasi,positif
bagus banget,positif
diupdate ko lola ya,positif
aplikasi lambat tangan banget kali sih tangan super super kasi diblakang nama buruk,negatif
tungu kartu fisik min,positif
halo masuk alami orang sekitar mohon ringan kalo masuk lambat banget sensitif klik tombol dalam lambat suka blubca harap masuk timbang terima kasih,positif
kali bagus god job mana butuh atm kartu membiayain hidup hasil kerja nafkah orang tua tapi sayang buruk buruk sangat ngelag suka sangat beda so bad suka lambat suka bilang transkasi gagalapa kah tolong jelas alasanya,negatif
wel played mantep pakai,positif
jadi urus uang mudah,positif
kirim kode verifikasi masuk pesan,negatif
hapus data sayatidak guna,negatif
gasuka kalo bentar updateditambah kalo baru gabisa masuk tambah diupdate suruh verifikasi wajahsetiap verifikasi wajah gagal mulupake ngenalin wajah segalaemangnya beda orangue make mbanking verifikasi wajah gampang kokebaca semua verifikasi suruh nengok kirikanandepanmangap kayak orang bodohudah gitu gagal pulalagi urgent ginicukup bintang berbicaradan gakan rubah ulas terima kasih,negatif
masuk putus terus,negatif
mantul abis pokoknyapuas bgt pakai blufre transfer kmn mn,positif
investasi oke bayar oke banged,positif
pokok bagus,positif
transfer saldo saldo masuk si terima pdahal saldo rekening potong tolong bantu kasi bintang,negatif
transfer uang mbca hilang uang k transaksi hasil ulang hp biar masuk tfan uang masuk mbca tolong tinjak lanjut kirim email,negatif
transaksi lancarterus maju,positif
bagus,positif
bintang aju ektp fisik ektp ubah,negatif
baik,positif
berat lamban mudah baik segi fitur bagus mudah erti,positif
efektif,positif
ampun buruk baru susah banget masuk terang sambunganselalu putus butuh transaksi kacau,negatif
god,positif
puas,positif
mantapnbanyakpromo,positif
favorit nih aga tuju biaya admin setor tarik mahal narik moga depan layan,positif
bayar tagih kredit ya,negatif
sory bagus pakai srasa rugi perlahan mah suka gtu doang kasi mudah beh tarik tunai bayar transfer tuh moyang si byar lho heran serba duit blg trobosan apa sgala macm lbh sblmnya tarik tunai fre woi fre transfer sama ktnya mesti tngktkn saldo bru gratis lbih pakai mandiri saldo atas brp jg fre admin,negatif
bagus simpel hemat biaya transakasi fitur bi fast,positif
banyak fitur depan,positif
unit kerja apiksemoga mudah sarana kontribusi,positif
tarik tunai kena biaya admin kapitalis ngalahin induk,negatif
thnks,positif
tolong atur pin,positif
tolong perbaikin donk,negatif
so far ok,positif
masuk tulis sambung putus transaksi tulis gitu kalo,negatif
semenjak baru setor tunai tarik tunai masaiya kena fe kalo deposit tarik tunai kalo make system potong kartu biar mending make kena biaya tarik tunai setor tunai kena potong admin fungsi biaya setor tunai tarik tunai voucher dipake your system is bad man,negatif
pokok jelastransaksi apa suruh cek mutasi rekening ujung blokirsaldo kirim om tarik hilang,negatif
skrang susah si transaksi masalah terusudh tungu hari mas tep masalah server baik,negatif
baik,positif
bantu transaksi,positif
biaya admin tarik tunai transfer,negatif
siyal bagu kali daftar henti buat paswordabis tu muter besokgak proses selanjutnyada,negatif
gagal transaksi punya nyangkut uang,negatif
praktis cepat repot bawa dompet tas hp transaksi ambil tunai atm bebas biaya admin,positif
g the best ever inti complaint with this,positif
kode voucher belanja minum fruity cuman php cashback kecewa,negatif
kak servernya putus kya sambung ulang tf jg mesti sambung putus gitu tolong dong min,negatif
ok banget,positif
bantu,positif
kena biaya tarik tunai kayak walet walet laen dah mending debit kalo tarik tunai biaya orang pikir atm mana alih kalo kena biaya gopay tarik tunai indomaret mana,negatif
aplikasi berat lambat kadang masuk aplikasi masuk masuk ulang mohon baik depan kalah,positif
shit harap manusia manis busuk bain nomor id virtual cantik harap depan puas bedah tarik tunai batas setor tunai kena potong,negatif
nasib belah mah promosi janji fitur serba gratis jalan ujung fre admin bulan kenain biaya sebentar uninstal aplikasi,negatif
gembel kirim virtual acount gabisa pdhl ngapain kyk gin kalo sulit admin tarik tunai kena admin,negatif
mobile banking kacau sesuai nama besar seringkali pakai transaksi gagal langsung respon komplain solusi hasil bagus kasih bintang,positif
keren,positif
bantu,positif
mohon kembali transaksi tarik tunaisetor tunai kena biaya admin batas kali kesini buka bagus ribet,negatif
semenjak laku biaya setor tarik tunai atm rp transaksi semenjak tarik dana konvensional bagus transfer gratis syarat juta setor tarik tunai gratis tarik pakai bijak,negatif
pakai bagus banget apknya mudah transaksi online sayang banget busa virtual acount,positif
best banget aplikasi,positif
bagus nih blue reward kena biaya admin,positif
baru baru transaksi gagal sinyal internet bagus sinyal bagus live sosmed super lancar hubung lazada transaksi,negatif
bagus,positif
admnh narik kecewa sma,negatif
blue baru susah bertransaksimohon transaksi masalah gagal,negatif
berat hp spec gede lambat respon loading berat tingkat plis biar kenceng mobile mybca blubca banyak animasi sederhana bagus,negatif
mantap flaz,positif
mudah drpd mbca,positif
sistem tranfer susah tolong baik sistem kasih pemberitahuan dsri biar nasabah percaya,negatif
setor atm biaya,negatif
cocok,positif
masuk,negatif
bagus saran iya aju pinjam itu ada bagus,positif
opo a,positif
tolong setor tarik tunai bikin unlimited kasih kuota cm x biar semangat taroh uang,negatif
ben using this abt a year sempet uninstal i cant stand with the animation bcs bikin lambat know lambat padahal bagus banget suka simpel gitu moga tim it tolong adun baik dipake aplikasi suka gaje banget pls download janji lambat ya kalo lambat i blokir trims,positif
jos,positif
pakai mudah transaksi mana bagus dah,positif
ndak verifikasi wajah,negatif
cs niat,negatif
gabisa masuk gabisa transaksi,negatif
lucu tf kena biaya admin untung sistem digital mana,positif
bantu driver online layan langan baik,positif
kecewa gratis tarik setor tunai bulan kalo hapus nih,negatif
cs layan beda,negatif
bagus,positif
oke,positif
moga bagus,positif
bagus,positif
hape ku ilang masuk akun pakai no blue,positif
gabisa masuk padal transaksi rada kecewa sistem,negatif
registrasi rekening,negatif
gabisa mulu stiap transaksi,negatif
buruk kalah tawar program pinjam gilir aju juta sesuai butuh tolak tulis aju juta bln aneh sistem buruk maksud pinjam juta bln alobank jamin,negatif
solusi muas,positif
nambah biaya setor tarik uninstal,negatif
guna taundaftar ny x tolak teruslucu banget ni apdhal smua data dikutin,negatif
banget koneksi putus internet lancar,negatif
tarik tunai kena admin,negatif
doang gerat pas narik duit kena biyaya admin,negatif
repot,negatif
proses jam jam jasa hasil gakbuang kuota,negatif
god,positif
mudah pengunanyabisa,positif
layan cs lambat atas keluh,negatif
masuk bayar mulu nyambungin tuisanya klo uang pas butuh desak ambilkasian uang kes tahan uang tolong baik baik,negatif
bantu,positif
tolong mulus kes berat,positif
ok tampil minimal enak dipake biaya admin mah selagi lancar,positif
bagus markotop pokok a,positif
template buruk liat tampil bikin anak smp lihat template kompetitor alo amar seabank terburuk suer,negatif
tarik tunai setor tunai kena admin buruk,negatif
blue bayar kredit laku masuk masuk tungu estimasi kerja banget mending pakai,negatif
aplikasi susah buka sat darurat,positif
tolong baik kak,positif
sambung putus coba transfer penting sambung putus,negatif
ne akun masuk knpa sulit x,negatif
ok,negatif
instal my eror masuk paksa masuk transaksi,negatif
ok,positif
blubca bagus,positif
ok please,positif
wow,positif
lambat eror transaksi alas sinyal dl gada,negatif
perfect,positif
bantu banget,positif
halo eror sambung putus,negatif
transaksi mudah cepat,positif
perivikasi wajah susah ampun,negatif
gx kaya bnyk potong,negatif
transfer gagal,negatif
sekarangbeda,negatif
bagus kirim nomor prvikasi d kirim email,positif
terima aplikasi istimewa,positif
ok banget transfer bagus up bebas admin terima kasih,positif
bonus cashback awet promo hehehe,positif
percaya,positif
aplikasi lemot cuman saran tampil rubah liat norak adain kartu debit cakep,negatif
verifikasi,negatif
buruk super ribet,negatif
lumayan fitur tingkat,positif
wkwk verifikasi muka gabisa pdhl saldo gabisa masuk,negatif
thankyou,positif
transaksi gede x jam status proses transaksi rb hitung detik hubung cs bantu,negatif
god,positif
god,positif
ok,positif
verifikasi wajah muka asli muka,negatif
knpa klo tf gilir tf kga pdhal prtama kali pakai tlong diperbaikin sistem,negatif
asik,negatif
mantebs,positif
masalah,negatif
ok bagus,positif
god banget,positif
bye bye biaya transaksi lainkita,negatif
sgt bantu tranfer uang love,positif
pokok mah tungu syariah kakak,positif
dimatin kasar sopan,negatif
keren,positif
tarik tunai bayar levih enak kek asli,positif
download qris transfer uang gagal urus terima uang lancar tipu,negatif
bagus,positif
biaya tarik tunai setor tunai beban moga gratis moga kartu fisik cepet launching moga menu paylter pinjam uang akses mudah,negatif
hr transaksi sih buruk banget euy uang tarik trf isi dompet,negatif
bagus,positif
gangu jam coba gabisa kerja gangu,negatif
verifikasi wajah susah say ulang kali gagal buka rekening,negatif
ngeleg saldo kalo narik dana,negatif
bagustapi kalo baik jam malam,positif
tolong adain debit cardnya kalo butuh urgent banget pas sinyal lambat servernya eror kesel banget,negatif
bagus bnyak cashbacknya,positif
aplikasi lambat buruk mutar melulu beda,negatif
berat seamles kayak mybca jago hp prosesor snapdragon ram gb lambat,negatif
bagus banget,positif
percaya moga manfat,positif
lumayan bagus,positif
mantapsangat bantu bayar transfer memtransfer,positif
biaya setor tarik tunai malas pakai auto unistal pindah syariah,positif
kirim uang rekening pribadi status hasil cek rekening tuju dana masuktolong baik kerja,negatif
layan buruk proses rubah nomor handphone masuk proses kunjung ubah sesal depan otp sms terap wa bantu mudah sulit sistem lengkap data aju layan buruk baca nih devloper,negatif
tf kena admin lumayan gede auto uninstal nih busuk,negatif
rugi transaksi ambil uang biaya admin sampe,negatif
terima kasih sulit,positif
ikut saran clear data aplkasi masuk transaksi transfer takut takut nyangkut,positif
launching bebas biaya admin trftarik tunai biaya admin pakek simpen uang urgent tarik uinstal deh,negatif
bgus mudah jga transaksi pokok got,positif
bagus bantu,positif
kemarin cape banget transaksi debit online pakai tolak mulu pakai kaya rekening m ribet proses super cepat bagus,positif
djal transaksi bagus up transfer teros coba coba woy uang hw nyangkut apain instal daftar mending jgn pakai,negatif
asik x tarik tunai kartu auto unistal,negatif
berat minsetor tunai bayar tranfer va bayar suport bi fast rekening tujuanyabanyak bayar mending konvensional ayo min gratisin setor tunai gope dah kaya belah,positif
verifikasi email susah min tolong bantu baik min biar verifikasi hehe,positif
ulang masuk tetep bikin form tarik tunai tdinya tarik tunai gratis susah susah kena fe gajelas,negatif
mudahpraktispromonya sip,positif
sukak banget nih cocok banget pakai qris wkwk,positif
nyaman,positif
trima kasih,positif
biaya admin mahal setor tarik tunai biaya,negatif
sombong dunia sok kaya nasabah saldo nol beban blokir ni akun blue bangkrut,negatif
ko atur pin,negatif
ok,positif
baru susah banget masuk transaksi,negatif
baru gagal masuk transfer putus blabla uxnya asa lambat banget ni banding mybca ewalet,negatif
buruk banget transfer buruk becus,negatif
pakai tahun aman enjoy mudah,positif
istimewa,positif
goblog nih baru transaksi virtual akun,negatif
emang bagus suka,positif
tolong adain atm plis,positif
aplikasi bagus komplain perihal kualitas aplikasi tawar bebas biaya admin bulan kartu debit fisik orang worth it rekening asli tahap xpresi admin bulan k ful ecosystem,positif
pas verifikasi kode otp kirim,negatif
uang transaksi gagal terus gimana tolong dinperbaiki,negatif
gabisa daftar gagal pas vermuk bner,negatif
kartu debit,positif
apus kalo ad kartu instal virtual dimatin malas,positif
ruwet verifikasi wajah,negatif
masuk pakai wifi pakai data gabisa heran internet kenceng baca tungu sampe menit menit masuk,negatif
bagus,positif
bagus enak mudah pakai,positif
aneh banget aps kocak iya tarik tunai atm gratis kocak kocak,negatif
mudah praktis,positif
seinget klo tf babyar kaga bayar bagus,positif
dukung sinyal main game nonton vidio lancar buka tf susah,negatif
oke,positif
kode otpnya,negatif
gangu tuh gak puas pakai,negatif
eror,negatif
masuk masuk bagus,negatif
mensuga bingung,negatif
fitur virtual debit online bagus,positif
gila sih ngeselin banget kalo transaksi coba mulu heran,negatif
maf bintang turunin atur tarik setor tunai via atm bayar tutup uninstal nih,negatif
bagus,positif
tampil aplikasi jelek,negatif
virtual acount transfer aduh broken,negatif
bagus,positif
briva tep jg,positif
bagus,positif
daftar verifikasi wajah berkalikali coba hasil payah,negatif
coba berkalikali tahap buka rekening vidcal sambung langung rekening jadijadi laku,positif
gratis kesini bayar bahaya ta,negatif
bagustapi gagal verifikasi emailkarena kode otp masuk emailsedangkan verifikasi,positif
bagus dah proses cepat,positif
baru lambatbanyak eror,negatif
tolong kembali setor tunai tarik tunai mesti batas kali batas arti gratis biaya tambah kali setor tarik tunai kuota setor tarik gabung pilih setor tarik maksimal kali rekening ya otomatis transaksi kalo kondisi andal banding,negatif
buka,positif
eror mulu gaji gur mingu tahan diapain tuh duit,negatif
biyash bagus gap banget no rebet terima kasih,positif
lengkap,positif
bagus oke promo cesbeknya,positif
god recomend it is,positif
coba buka rekening pas verifikasi wajah kalo kali dasar tolong baik sistem aneh,negatif
taransfer gopay blue tolak pantes bawa nama l payah,negatif
nice,positif
dana transfer via bifast masuk rekening tuju debit saldo notifikasi sukses baru selesai mingu,positif
wel,positif
balikin akun blokir min,positif
kesini amburadul bintang ps bagus bgini bnyakan robot kl komen yupdate jeblogap bayar kynya kentut jg bayar dsiniudh transaksi tf sulit alesanya tungu sampe besokl besok jg auto apus,negatif
god,positif
buruk stor tarik tunai adminya kaya bebas admin,negatif
lupa bri sudsh admin blue lupa kalo ngandelin fitur ternyta lengkp saing promo mudah akses murah akses mudah adu repoy jg cal premium cabang mending xpresi,positif
bayar pakai qr code lambat banget kalo tarik tunai biaya,negatif
bagus,positif
oke,positif
by bagus dehayo cepet bergabungsangat bagus bisnis,positif
upgrade buka rek bisnis sayang layan portal bayar qris kalah dana bisnis qrisnya itu potong komisi maksimal akumulasi pasu juta pakai qris klo bantu transfertop up gtu klo beneran sampe barcode qris kasih bintang suer deh,positif
cacad gabisa screnlock kunci on developer gimn sih,negatif
serba admtf setor kena adm kaya duluntuk tf bang adm besarjadi kasi tf ngeluhtf kena adm gmna inih,negatif
verifikasi wajah gagal mulutititlahbisa bikin aplikasiudh gagal sampe senyum kering dibuatnyapulsa layan pakai wa biat cepet responlo baca koment orang tuh pakai behel logingara monyong kali mulutnyaverifikasi muka benerindgn usaha keras tingal kode otp nih masuk tadimana otp sms masukpake pulsa potong tau bayarsms telat masuk buruk,negatif
tarik tunai kena biaya transfer kena biaya virtual acount eror mulu males pakai,negatif
nice,positif
moga percaya,positif
transfer bang and tarik tunai pakai biaya admin dulunya gitu kecewa sih,negatif
god,positif
gangu kemarin gmna gan,negatif
sampe pakai layan virtual virtual acount,negatif
ta kasih bintang kecewa biaya administrasi setor tunai atm tarik tunai kena biaya adminjadi pindah bebas biaya admin godbye,negatif
sad sed das des bagus blue nih,positif
nal wajah ganti nomor hp gagal sesi habis,negatif
daftar verifikasi wajah coba kali,negatif
kemarin transfer virtual acount nambah bi fast karuan,negatif
ok,positif
bagus,positif
top,positif
buruk banget gangu ngirim uang kendala rekomendasika download sebal orang butuh banget ngirim uang sunguh muak lambat,negatif
buka nungu setaun niat bikin m banking nih,negatif
terimakasih kasih selesai tangung god kasih bintang yak cs ramah,positif
mantap,positif
bagus kali pakai serba mudah da efesien,positif
jujur orang kelana henti fitur lengkap tingal nungu kartu fisik doang sisa ok banget cs fast respon untung klo kendala tari uang,positif
bantu,positif
susah ambil foto selfie,negatif
fast response dana potong langsung ganti kirim email adu recomended,positif
susah karta sandi salah mls,negatif
transfer blokir,negatif
bagus simpel,positif
tarik tunai lwat atm bayar gangu buruk eh,negatif
pakai lancar pemberitahuan promo dl cepat atas lumayan muas,positif
terimakasih kembali dana moga next lancar kendala bagus up emoney,positif
pis pakai bln bagus kesini kesini siap kaya mateng bahan uji coba mulu tf masalah mulu of acount dah,negatif
gajelas ni apkikasi transfer ewalet notifikasi akun masalah,negatif
bayak bantu klo aplikasi cepat lambat,positif
bagus,positif
oke,positif
mohon bantu topup emoney x cuman transaksi status proses saldo kurang coba kontak nomor telpon pelihara sistem kirim email tangap,positif
mudah transaksi,positif
very god,positif
buru sya masuk terkluar terang sesi,negatif
so far so god,positif
hebat,positif
bagus,positif
bagus,positif
bagus abis,positif
verifikasi email nungu kode otp kirim email ampun pas kode otp nyapas masukin code salah,negatif
asik transaksi mudah yu bestie pakai blub,positif
god,positif
aplikasi buruk buruk layan transfer tarik tunai virtual acount mohon solusi,negatif
terlalulambat transfer kirim,negatif
kasih wakil kaum muda banget aja inti bayar transaksi kakak dah ah of,negatif
mantep sih ui berat gada kendala promo,positif
bagus bayar pakai qris lancar cashback terima kasih,positif
malu maluin transaksi kga masuk saldo potong telf cs sibuk mulu guna gara tipu sma orang d tlf k cs sibuk mulu sya hub d my siang sibuk trus payah lah,negatif
kesini transaksi kena biaya biaya kalo gin mending pindah,negatif
konekso buruk,negatif
cal center sibuk hubung,negatif
halo admin bagus up dana saldo kurang transaksi proses nomer telphon cs sibuk mulu dana min,positif
anehmau setor kena potong auto tutup akun kalo tarik is ok ber bayar setor bayar lari blue,negatif
tolong sya slma complain sya transfer rek dri siang sampe sore masuk bagus up shope pay smpe kali masuk shope sya terang transaksi hasil uang sya cman email balas,positif
kesini susah masuk yasusah banget masuk transaksi,negatif
wasting time for masuk,negatif
transfer tarik tunai kena biaya aneh banget,negatif
sinyal bagus masuk virtual acount dipake tarik tunai kena biaya atm payah mending uninstal deh,negatif
muas,positif
mudah cepet pokok e the best,positif
berat masuk keluar lambat responya,negatif
moga lancar mudah kemaren kasih bintang buruk sih sya kendala chat lapor respon respon sesuai kendala,positif
akun transfer tarik tunai muncuh yah putus yah gagal jelasin kendala ntah sinyal server eror,negatif
bagus,positif
ganguan kak,positif
server mingu buruk mohon baik gangu nyaman transaksi seharihari,negatif
siang kali transaksi kendala nyahari nemuin kendala transaksi,negatif
payah lambat aplikasi buru atm lambat hadeuh,negatif
potong admin males pakai,negatif
kesel transfer masukin pin verifikasi wajah habis pakai behel beda muka sampe nungu menit buka masukin pakai kacamata kerudung beda pas verifikasi pakai pin dobel nungu jam proses,negatif
pakai oke,positif
kecewa banget baru eror lambat jaring kenceng transfer rek pakai layan bi fast baru aman cepet fix deh nyusahin,negatif
kok lambat,negatif
fre tf masuk dijital bi fast sedia admin gede pakai online real time tarik admin tf admin gede fix pelit aplikasi nabung transaksi bikin tekor duit adm,negatif
aneh banget gabisa tf gabisa tf masuk akun gabisa mulu rugi banget isi saldo,negatif
fast respon request tambahin note langsung respons terima kasih lambat putus koneksi bayar va tolong solve nyaman pakai,positif
kali cacat masuk ja lambat susah banget buang tarik uang sulit riweh pakai pasword hp kalo pakai pasword hp dipake gagal kasih user,negatif
sering masalah,negatif
ad transaction laging saving transfer data laging ad basket laging execute transaction laging share resi transaksi laging tolong periksa servernya kali diupgrade,negatif
bawah naung bayar tarik setor fix laku pakai by ajak kawan kantor tutup acount milik kecuali,negatif
sih putus koneksi lancar coba ulang ulang putus,negatif
proses sh banget daftar tolak alsan jls dri csnya,negatif
hi admin tolong baik juli bagus up saldo e comers virtual acount notifikasi sb siapin seru spesial transfer server putus koneksi internet kondisi saran tolong baru utama baru proses transaksi lancar moga baik hambat proses transaksi terima kasih,positif
mohon baru keluh berat bu muter muter kedip kali muter muter duh gesit m sat seutatau klo neojago dl sat seut kalo transaksi terima kasih,negatif
banyak fe,negatif
tolong banget pakai,positif
ui super lambat konektifitas jaring internet gagal sat set transfer bayar belanja lambat banget batal kepalang lambat,negatif
tabung mudah nyaman,positif
akun transaksi apa,negatif
bagus,positif
oke sih,positif
admin tarik tunai atm kena biaya admin biaya admin tarik tunai,positif
blue buruk va jalan,negatif
kali download bagus banget cashback dl kesini biaya setor tarik pakai admin,negatif
asik banget bikin target tabung,positif
oke transaksi cepat aman,positif
sih tf rekening susah,positif
transaksi koneksi putus,positif
biaya apa fre kesini embel embel biaya admin stor tunai kena admin harus biaya admin kecuali stor tunai,negatif
bintang bicara,positif
terima kasih blue bantu tabung uang,positif
mahal kacau beban admin tf kena charge kapok,negatif
nice game eh salah ok banget apnya kuy ah,positif
verifikasi lamban kirim kode sms email susah verifikasi,negatif
tololskrng bayar virtual acount bisanjink,negatif
bantu,positif
close masuk ulang ribet nik daftar lahemail nama akun mudah masuk,negatif
bagus,positif
kesini gajelas tarik tunai adminya setor tunai adminya kadang transaksi barcode gabsa pdhl dpn kasir virtual acountnya gabsa trs kadang tf gabisa apa skrng mah,negatif
males nih pakai si tarik tunai setor tunai adminya atm adminya mahal banget tolong kembali sistem fre tarik tunai setor tunai atm responsif cepat ui temu device,negatif
jos,positif
sdah brpa kali cb daftar tolak alas jelaskn data ad data rekayasa sistem klian tolak minimal jelaskn iya tolak sistem alas customer service cuek sombong ramah atitude bankers cewek cowok jgn layan via online beratitude gaji layan baik heran cs,negatif
asu verifikasi wajah ko angel men ki nopo su asu celeng,negatif
payah tarik tunai pakai admin skarang neng pakai bantu kryawan hantu biaya admin,negatif
bagus virtual acount moga depan lengkap fleksibel,positif
tarik tunai kena biaya admin,negatif
susah banget masuk tolong baik,negatif
berat,positif
isi saldo pakai transaksi solusi edit tangap solusi terima kasih solusi manfat clear,positif
kartu fisik,positif
virtual acountsesama bayartarik tunai bayaraplikasi memudahkanbukan bikin susah,negatif
cepat akurat,positif
hapus blue list tarik tunai atm bayar rugi mending pindah dana,negatif
tolong perhati kait output transaksi tarik dishare bukti transaksi fitur bayar pdam listrik,negatif
god,positif
mudah invest jenis emas iya difiturnya,positif
daftar nama kandung kredit,negatif
responsif fitur lengkap kasih kartu debit fisik bagus up flaz,positif
sayang daftar menchart olshop bayar transfer fungsi alat transaksi,positif
kesel narik doang biaya admintrs bunga dikit bukit sitf tetep kena admin admin mending pindah deh klo bgni,negatif
jiuyh bovgyaj,positif
gasiap broken banget cs via wa jg aneh jwb chat ulang,negatif
dh thn pakai aman aman tarik tunai kena admin virtual acountnya d akses kecewa bgd males make,negatif
proses cepat,positif
mo daftar susah muter pas paswordnya server lemah eror melulu,negatif
tf kya biar tf tulis masalah hey,negatif
bagus,positif
mambantu,positif
nabung tarik tunai biaya administrasi beban fasilitas bagus biaya adminya timbang,negatif
susah masuk use must real device mulu,negatif
lambat transfer kena biaya pakai reward,positif
bantu simple cepat,positif
gilira masuk tlp mulu pas lambat pakai mu transaksi hars feriv wajah pas feriv wajah gagal mulu ganti hp masuk feriv wajah banget deh skarang make,negatif
god,positif
ok,positif
nih putus sambung jaring lancar banget aneh transaksi gabisa,negatif
mohon lengkap fitur ny,positif
bagus,positif
pengunanya simpel nyaman,positif
tarik tunai kena biaya atmin rb dah bisa,negatif
kode otp masuk masuk sinyal ful internet bagus,negatif
mudah transaksi ribet,positif
sih bagus buruk setortarik tarif biaya tf virtual acount,negatif
aplikasi bilang berat banding mobile banking gesit mohon baik tingkat depan terima kasih,positif
virtual acount so sad,negatif
tarik tunai mending turu,negatif
puas layan bluok,positif
bluvirtual cardnya oke khusus android oreo opo as eror mohon optimalisasi user pakai gangu lambat eror lainlain,positif
god job,positif
tarik saldo biaya admin buruk banget rugi,negatif
banking lama transfer masak bayar haduh,negatif
transfer lg,negatif
susah banget kalo masuk hp hp wajah deteksi daftar kemarin rambut eh potong rambut pendekga masuk wajah deteksi sihpakai opsi pilih dongemail kek,negatif
baik aplikasi sayang virtual akun pakai icon gabisa pakai,positif
bagus aplikasi lambat banyak animasi butuh cepat transaksiaplikasi moga baik aplikasi,positif
transfer pakai bi fast rek,negatif
buruk,negatif
aplikasi lambat banget bikin kesel,negatif
knpa transfer dn tarik tunai ya cb kali kali loh,negatif
cocok anak muda mayan nabung pelan,positif
handphone mantep bilang goyang kenal wajah,positif
tarik tunai biaya admin kayak gitu transaksi max tambahin klw transaksi narik juta atas gitu biaya admin mahalealah skip deh otw uninstal,negatif
bagus mudah transaksi lambat operasional butuh cepet,positif
konfirmasi pin gagalmuncul terang cape bolak bas x,negatif
download info promo eh kuota promo d cek gbs d pakai niat untung buntung konfirm by wa d suruh nelfon pakai trik naikin trafic nih hadeuh,negatif
bagus,positif
nyadar transfer kena admin wow bagus kena admin si ngerti,negatif
aju jam klo syarat,negatif
kesini potong bgd tf kena admin tarik tunai setor tunai jga kena admin buruk sih pdahal samasama cardles kena admin kacau,negatif
gabisa nonton sal,positif
mohon maf kasih bintang kali kecewabiasa tarik tunaisetor tunaisampe transfer biaya admin potong transaksi mohon perbaiki setor tunai potong hadeuh aneh banget kesini bagus pas,negatif
bantu,positif
bye bye pemakain tahun memudahakan tarik tunai atm gratis uninstal biaya setor tarik tunai isi ewalet dl mending langsng neo seabank kaya fisik,negatif
mantab bagus,positif
promo bongan gabisa,negatif
aplikasi buruk lambat transaksi atm lodingnya banget,negatif
bantu umkm pribadi jasa uang fisik kantor biaya minim biaya kena tarik setor uang bebas biaya admin tsb dapat bluloyality usaha mikro omzet dapat x bulan maju gerak cekik biaya sunguh sesal,negatif
gila stor tarik masak biaya gila,negatif
tarik tunai bayar payah,negatif
mah enak pakai banget eror transfer kgak masuk masuk ambil uang atm yah putus yah putus mulu bye habis,negatif
