content,score,at,thumbsUpCount,replyContent,final_content,tokens_stemmed
keyen,5,2022-10-28 14:50:53,0,"Hai, Kak Putra Rmdhni. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",yen,['yen']
"Mau nautkan pembayaran grab ke blu tapi Kode otp otentikasi gk masuk masuk, sampe abis waktunya tetap gk masuk Cepet kasih tanggapanin, klo udah berhasil saya ubah penilaiannya",1,2022-10-28 13:23:38,0,"Halo, Kak Saras Wati Ritonga. Maaf atas kendala yang Kakak alami. Kakak bisa pastikan pulsa mencukupi dan masa berlaku pulsa masih ada, sinyal kuat dan stabil, outbox dan inbox SMS tidak penuh dan pastikannomor handphone Kakak tidak aktif fitur blok SMS pada Aplikasi Axisnet.",nautkan bayar grab kode otp otentikasi masuk masuk sampe abis masuk cepet kasih tangapanin klo hasil ubah nilai,"['nautkan', 'bayar', 'grab', 'kode', 'otp', 'otentikasi', 'masuk', 'masuk', 'sampe', 'abis', 'masuk', 'cepet', 'kasih', 'tangapanin', 'klo', 'hasil', 'ubah', 'nilai']"
top,5,2022-10-28 12:53:32,0,"Hai, Kak Radhiy. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak kedepannya. 😊",bagus,['bagus']
"Bagus bngtttt sangat membantu . Tapi boleh gk kasih masukan, klo bisa di tambahin fitur auto debet untuk pembayaran listrik, PAM, wifi sesuai tanggal yang kita tentukan gitu pasti auto langsung tf ke blu semua gaji 👌",5,2022-10-28 12:09:27,17,"Hai, Kak Rina. Terima kasih atas ulasannya. terima kasih atas saran Kakak kami akan teruskan ke tim terkait, blu akan selalu terus memperbaiki demi mencapai kepuasan para pengguna aplikasi blu dan memberikan inovasi terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Tunggu inovasi selanjutnya.",bagus bngt bantu kasih masuk klo tambahin fitur auto debet bayar listrik pam wifi sesuai tangal tentu gitu auto langsung tf gaji,"['bagus', 'bngt', 'bantu', 'kasih', 'masuk', 'klo', 'tambahin', 'fitur', 'auto', 'debet', 'bayar', 'listrik', 'pam', 'wifi', 'sesuai', 'tangal', 'tentu', 'gitu', 'auto', 'langsung', 'tf', 'gaji']"
"Untuk isi saldo kalo bisa jangan cuma lewat atm, lewat alfa/indo juga dong. Biar gk ribet kalo gk ada",4,2022-10-28 11:51:58,0,Hai Kakak. Terima kasih atas ulasannya. blu akan selalu terus memperbaiki demi mencapai kepuasan para pengguna aplikasi blu dan memberikan inovasi terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Tunggu inovasi selanjutnya.,isi saldo kalo atm alfaindo biar ribet kalo,"['isi', 'saldo', 'kalo', 'atm', 'alfaindo', 'biar', 'ribet', 'kalo']"
Saldo aman terjamin dan transaksi oke cepet tranfer juga oke . BLU savingnya oke,5,2022-10-28 11:49:07,0,"Hai, Kak Ary. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan dan serunya fitur-fitur transaksi yang blu sudah siapkan ya. 😊",saldo aman jamin transaksi oke cepet tranfer oke savingnya oke,"['saldo', 'aman', 'jamin', 'transaksi', 'oke', 'cepet', 'tranfer', 'oke', 'savingnya', 'oke']"
Ini tolong untuk autentikasi wajah nya di perbaharui lagi masa saya gagal terus dari tadi mana harus nunggu 1 jam dan saya gagal nya lebih dari 5 kali tong secepatnya di perbaiki,1,2022-10-28 11:36:14,17,"Hai, Kak Iwan. Maaf atas ketidaknyamanannya, untuk kendala Kakak pastikan tidak memakai sunglasses, pastikan tidak memakai masker, tidak backlight, ditempat yang terang, posisi wajah dalam lingkaran, pastikan versi aplikasi blu sudah yang terbaru, ganti device atau mohon sampaikan detail kendala Kakak ke layanan email haloblu@bcadigital.co.id ya.",tolong autentikasi wajah baharu gagal nungu jam gagal kali tong cepat baik,"['tolong', 'autentikasi', 'wajah', 'baharu', 'gagal', 'nungu', 'jam', 'gagal', 'kali', 'tong', 'cepat', 'baik']"
"Susah bgt daftarnya ,gk dpet otp 😭😭",1,2022-10-28 10:07:33,0,"Halo, Kak Hikmah Andini. Maaf atas kendala yang Kakak alami. Jika yang Kakak maksud kendala saat menghubungkan bluVirtual Card di Grab, maka Kakak bisa pastikan pulsa mencukupi dan masa berlaku pulsa masih ada, sinyal kuat dan stabil, outbox dan Inbox SMS tidak penuh, nomor handphone Kakak tidak aktif fitur blok SMS pada Aplikasi Axisnet.",susah banget daftar dpet otp,"['susah', 'banget', 'daftar', 'dpet', 'otp']"
ok,5,2022-10-28 08:33:28,0,"Hai, Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",ok,['ok']
Good job good luck 👍,5,2022-10-28 08:05:03,0,"Hai, Kak Ruskana. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",god job god luck,"['god', 'job', 'god', 'luck']"
"Akun terblokir, reset password gagal di wajah, aneh ini aplikasi, untung tidak taruh uang disitu",2,2022-10-28 05:32:41,0,"Hai, Kakak. Maaf atas ketidaknyamanannya, untuk kendala Kakak pastikan tidak memakai sunglasses, pastikan tidak memakai masker, tidak backlight, ditempat yang terang, posisi wajah dalam lingkaran, pastikan versi aplikasi blu sudah yang terbaru, ganti device atau mohon sampaikan detail kendala Kakak ke layanan email haloblu@bcadigital.co.id ya.",akun blokir reset pasword gagal wajah aneh untung taruh uang situ,"['akun', 'blokir', 'reset', 'pasword', 'gagal', 'wajah', 'aneh', 'untung', 'taruh', 'uang', 'situ']"
"Bagus dan memudahkan, transaksi yg sangat berkualitas.",5,2022-10-28 03:50:29,0,"Hai, Kak Tanto. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus mudah transaksi kualitas,"['bagus', 'mudah', 'transaksi', 'kualitas']"
"Hasil poto dari kamera bawaan blu bca sangat buruk banyak noise. Bagusan poto asli bawaan hp sendiri. Dan gw kira top up e money itu beneran e money atau flash bca ga taunya kaya gopay, ovo, dana. Kurang top up shopee, isi ulang kartu e money , flash bca langsung dari hp yg ada nfc. Kenapa ada biaya transfer antar sesama BCA????? Padahal dari bca ke bca digital itu free",1,2022-10-27 21:44:49,2,"Hai, Kak Rizqi, maaf atas ketidaknyamanannya, blu akan terus berusaha memperbaiki demi mencapai kepuasan para pengguna aplikasi blu. Tunggu inovasi selanjutnya, pastikan sebelumnya memilih jenis transaksi apa Kakak, jika pilih jenis transfer online maka tidak ada biaya, atau mohon informasikan detail ulasan ke email haloblu@bcadigital.co.id ya Kak.",hasil poto kamera bawa buruk noise bagus poto asli bawa hp bagus up e money beneran e money flash tau kaya gopay ovo dana bagus up shope isi ulang kartu e money flash langsung hp nfc biaya transfer fre,"['hasil', 'poto', 'kamera', 'bawa', 'buruk', 'noise', 'bagus', 'poto', 'asli', 'bawa', 'hp', 'bagus', 'up', 'e', 'money', 'beneran', 'e', 'money', 'flash', 'tau', 'kaya', 'gopay', 'ovo', 'dana', 'bagus', 'up', 'shope', 'isi', 'ulang', 'kartu', 'e', 'money', 'flash', 'langsung', 'hp', 'nfc', 'biaya', 'transfer', 'fre']"
Transaksi dari 20 oktober sampai sekarang masi d proses,1,2022-10-27 20:24:07,0,"Hai, Kak Mif Takhh. Mohon maaf atas ketidaknyamanannya. Untuk kendala yang dialami kami sarankan Kakak menghubungi layanan haloblu 1500668 agar dibantu cek lebih lanjut. Kakak bisa menghubungi layanan haloblu 1500668 pada fitur call di aplikasi haloBCA yang dapat diunduh di Play Store atau App Store dan bebas pulsa ya.",transaksi oktober mas d proses,"['transaksi', 'oktober', 'mas', 'd', 'proses']"
the best,5,2022-10-27 19:14:25,0,"Hai, Kak Esra. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",the best,"['the', 'best']"
Terbaik,5,2022-10-27 19:03:03,0,"Hai, Kak Steven Ratoebandjoe. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",baik,['baik']
"puas dengan blu bca, banyak promo, bebas admin, tambah debit virtual, smoga kedepan lebih bagus lagi",5,2022-10-27 17:39:04,0,"Hai, Kak Mizan. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",puas promo bebas admin debit virtual smoga depan bagus,"['puas', 'promo', 'bebas', 'admin', 'debit', 'virtual', 'smoga', 'depan', 'bagus']"
Cara masuknya gimana nih. Mentok di suruh aktipkan screen lock. Gk bisa maju lagi,1,2022-10-27 15:43:50,0,"Hai, Kak Diki, maaf atas ketidaknyamanannya, untuk akses aplikasi blu pastikan Kakak mengaktifkan fitur screen lock di handphone Kakak dari menu pengaturan ya. Apabila ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",masuk nih mentok suruh aktipkan scren lock maju,"['masuk', 'nih', 'mentok', 'suruh', 'aktipkan', 'scren', 'lock', 'maju']"
Mantap ..yuk pakai BLU,5,2022-10-27 15:27:41,0,"Hai, Kak Mila, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).
",bagus yuk pakai,"['bagus', 'yuk', 'pakai']"
Cara pakainya mudah transfer ke mana saja gratis,5,2022-10-27 13:19:24,0,"Hai, Kak Ari. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",pakai mudah transfer gratis,"['pakai', 'mudah', 'transfer', 'gratis']"
Langsung Saya Kasih 5 Bintang Terima Kasih blue by BCA Digital 🙏🙏🙏🙏🙏,5,2022-10-27 12:49:08,0,"Hai, Kak Subki. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan dan serunya fitur-fitur transaksi yang blu sudah siapkan ya. 😊",langsung kasih bintang terima kasih blue by,"['langsung', 'kasih', 'bintang', 'terima', 'kasih', 'blue', 'by']"
"Promo grab coba di evaluasi, pas masa berlakunya udh mulai tp promo di grabnya dihilangkan. Cuma buat mancing orang pake aplikasi blu",1,2022-10-27 12:16:19,0,"Hai, Kak Yunus Wahyu Setiawan. Mohon maaf atas ketidaknyamanannya. Kami akan selalu berusaha memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika saat waktu berlaku promo dan kode voucher tidak muncul atau tidak bisa digunakan, maka kuota promo per hari sudah habis. Kakak bisa mencoba kembali besok hari ya.",promo grab coba evaluasi pas laku promo grabnya hilang mancing orang pakai,"['promo', 'grab', 'coba', 'evaluasi', 'pas', 'laku', 'promo', 'grabnya', 'hilang', 'mancing', 'orang', 'pakai']"
Bank digital pilihan,5,2022-10-27 12:01:41,0,"Hai, Kak Azka. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",pilih,['pilih']
Wahh apk yang bagus ini membantu sekali,5,2022-10-27 11:32:43,0,"Hai, Kak Ario. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan dan serunya fitur-fitur transaksi yang blu sudah siapkan ya. 😊",wah bagus bantu,"['wah', 'bagus', 'bantu']"
So good,5,2022-10-27 10:46:38,0,"Hai, Kak Joe, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jangan lupa share cerita seru dan ajak orang terdekat buat gabung biar juga bisa punya cerita seru bareng blu ya Kak.
",so god,"['so', 'god']"
"menu sudah hampir sama dengan mbangking bca, cuman kurang menu pembayaran kartu kredit dan pembayaran shopeepay",5,2022-10-27 10:43:36,0,"Hai, Kak Khoirul. Terima kasih atas ulasannya. blu bisa top up ShopeePay menggunakan rekening blu dari menu BCA Virtual Account namun saat ini belum bisa digunakan untuk pembayaran kartu kredit. Tunggu inovasi selanjutnya dan nantikan update kemudahan transaksi lainnya yang akan dihadirkan BCA Digital ya.",menu mbangking cuman menu bayar kartu kredit bayar shopepay,"['menu', 'mbangking', 'cuman', 'menu', 'bayar', 'kartu', 'kredit', 'bayar', 'shopepay']"
Mantap,5,2022-10-27 10:32:34,0,"Hai, Kak Wibowo. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan dan serunya fitur-fitur transaksi yang blu sudah siapkan ya. 😊",bagus,['bagus']
"Walaupun reward pengguna baru nya lama masuk, tapi gpp tetap bagus",5,2022-10-27 05:05:19,0,"Hai Kak Nelly Livia Yanti. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",reward guna masuk bagus,"['reward', 'guna', 'masuk', 'bagus']"
guud,5,2022-10-27 02:14:02,0,Hai Kak Tedy Ockta. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak kedepannya. 😊,gud,['gud']
Iko Uwais 😁,5,2022-10-27 00:54:45,0,"Hai Kak Sabo. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",iko uwais,"['iko', 'uwais']"
mudah di gunakan,4,2022-10-27 00:40:53,0,"Hai Kak Syaifullah. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",mudah,['mudah']
Sangat membantu untuk menyisihkan usng,5,2022-10-26 23:33:56,0,"Hai Kak Dadan Sunarya. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bantu sisih usng,"['bantu', 'sisih', 'usng']"
keren,5,2022-10-26 21:04:01,0,Hai Kak Ratu Fenny. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Selamat menikmati kemudahan dan serunya fitur-fitur transaksi yang blu sudah siapkan ya. 😊,bagus,['bagus']
gampang dan bagus. puas pokoknya pakai blu,5,2022-10-26 20:56:16,0,"Hai Kak Casper Sen. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak, jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",gampang bagus puas pokok pakai,"['gampang', 'bagus', 'puas', 'pokok', 'pakai']"
mantepisan,5,2022-10-26 19:38:35,0,"Hai Kak Ryan, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",mantepisan,['mantepisan']
Cara aktifin screen lock nya gimana iya?,4,2022-10-26 18:48:02,0,"Hai Kak Tri, maaf atas ketidaknyamanan yang Kakak alami. Pastikan Kakak sudah aktifkan pengamanan fingerprint pada smartphone Kakak ya. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",aktifin scren lock iya,"['aktifin', 'scren', 'lock', 'iya']"
"Sukaaakkk banget pake applikasi ini , gak ribet, kekinian lagi.. Top deh pokoknya..",5,2022-10-26 18:04:45,0,"Hai Kak Sitta, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",sukak banget pakai aplikasi ribet kini bagus deh pokok,"['sukak', 'banget', 'pakai', 'aplikasi', 'ribet', 'kini', 'bagus', 'deh', 'pokok']"
nice,5,2022-10-26 17:43:37,0,"Hai Kak Wahyu, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",nice,['nice']
saya suka untuk blu saving,5,2022-10-26 17:38:02,0,"Hai Kak Efraim, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",suka saving,"['suka', 'saving']"
"Saya ingin bertanya kepada developer, saya ketika membuka rekening disuruh membayar Rp.100.000. dah ketika saya sudah dapat rekening kenapa saldo saya bisa menjadi Rp.0 ya? saya tidak begitu mengerti. semoga ada jawaban yang baik yaa secepatnya.",3,2022-10-26 16:10:26,0,"Hai Kak Fathur, maaf atas ketidaknyamanan yang dialami. Pembukaan rekening blu dengan opsi nomor rekening cantik akan dikenakan biaya Rp100.000,- ya. Namun jika membuka rekening dengan nomor rekening otomatis dari sistem tidak dikenakan biaya.",developer buka rekening suruh bayar rp dah rekening saldo rp erti moga ya cepat,"['developer', 'buka', 'rekening', 'suruh', 'bayar', 'rp', 'dah', 'rekening', 'saldo', 'rp', 'erti', 'moga', 'ya', 'cepat']"
good,5,2022-10-26 14:04:22,0,"Hai Kak Lisa, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",god,['god']
"Sudah Lancar,,, Terima kasih,,",5,2022-10-26 13:50:01,0,"Hai Kak Arie, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",lancar terima kasih,"['lancar', 'terima', 'kasih']"
mantap,5,2022-10-26 12:29:53,0,"Hai, Kak Willyanto Helmi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
pertahankan terus strategi promosinya👍👍,5,2022-10-26 11:38:25,0,"Hai, Kak Anggiat Silaen Official. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",tahan strategi promosi,"['tahan', 'strategi', 'promosi']"
"Hallo BCA, apakah yang sudah mmpunyai no rec dan m bangking bisa daftar BCA blue, apa hanya untuk 0embukaan rec baru saja ?",5,2022-10-26 11:07:57,0,"Hai, Kak Syhabita. Terima kasih untuk feedback yang diberikan. Jika Kakak sudah punya rekening BCA, maka Kakak tetap bisa membuka rekening blu. Pastikan Kakak memiliki e-KTP dan NPWP (opsional) ya.",halo mpunyai no rec m bangking daftar blue embukan rec,"['halo', 'mpunyai', 'no', 'rec', 'm', 'bangking', 'daftar', 'blue', 'embukan', 'rec']"
kadang gk bs login,4,2022-10-26 10:25:06,0,"Hai, Kak Purnama. Terima kasih untuk feedback yang diberikan. Kami akan selalu berusaha memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Mohon sampaikan detail respon atau kendala yang Kakak alami ke Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",kadang masuk,"['kadang', 'masuk']"
mantap.,5,2022-10-26 09:55:14,0,"Hai, Kak Catursugiyono Yono. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
"Susah banget daftarnya paraaahhh, mau video call aja gak nyambung2 padagal sinyal bagus",5,2022-10-26 09:39:31,0,"Hai, Kak Asep Irfan. Mohon maaf atas ketidaknyamanan yang Kakak alami. Kami sarankan Kakak bisa tutup paksa aplikasi blu dahulu dan mencoba kembali secara berkala. Pastikan jaringan stabil dan sementara tidak menggunakan jaringan WiFi ya.",susah banget daftar parah video cal nyambung padagal sinyal bagus,"['susah', 'banget', 'daftar', 'parah', 'video', 'cal', 'nyambung', 'padagal', 'sinyal', 'bagus']"
Good,5,2022-10-26 08:12:51,0,"Hai, Kak Ahmed Sanusi. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",god,['god']
"Terima kasih ,,,",5,2022-10-26 08:03:55,0,"Hai, Kak Riyonk. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",terima kasih,"['terima', 'kasih']"
"Maaf sebelumnya, tapi kenapa blu tidak bisa login dari kemarin sampain hari ini yah? Saya sudah login beberapa kali, tapi tidak bisa. Bisa tolong di bantu 🙏🏻🙏🏻 trimakasih.",3,2022-10-26 07:19:55,0,"Hai, Kak Marsha Marshelia. Mohon maaf atas ketidaknyamanannya. Mohon sampaikan detail respon atau kendala yang Kakak alami ke Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",maf masuk kemarin sampain yah masuk kali tolong bantu trimakasih,"['maf', 'masuk', 'kemarin', 'sampain', 'yah', 'masuk', 'kali', 'tolong', 'bantu', 'trimakasih']"
ok ni nyaman pakai blu,5,2022-10-26 05:07:12,0,Hai Kakak. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak kedepannya. 😊,ok ni nyaman pakai,"['ok', 'ni', 'nyaman', 'pakai']"
aplikasi gajelas verip muka aja laama anj,1,2022-10-26 03:45:32,0,"Hai Kak. Maaf atas ketidaknyamanannya, untuk kendala Kakak pastikan tidak memakai sunglasses, pastikan tidak memakai masker, tidak backlight, ditempat yang terang, posisi wajah dalam lingkaran, ganti device atau mohon sampaikan detail kendala Kakak ke layanan email haloblu@bcadigital.co.id ya.",gajelas verip muka lama anj,"['gajelas', 'verip', 'muka', 'lama', 'anj']"
mantap,5,2022-10-26 00:38:07,0,"Hai, Kak Hendri. Terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak kedepannya. 😊",bagus,['bagus']
"Susah sekali daftarnya, autentikasi wajah saja tidak berhasil berhasil, tiba tiba waktu habis, ambil selfie tidak bisa, tulisannya pastikan handphone jangan bergoyang padahal sudah sangat sangat stabil.",1,2022-10-25 19:16:04,27,"Hai Kak Danang, untuk kendala tersebut harap Kakak dapat memastikan:
- Tidak menggunakan masker.
- Tidak menggunakan sunglasses.
- Tidak backlight (lebih baik jika background adalah tembok polos).
- Di tempat yang terang.
- Posisi wajah di dalam lingkaran dan mengikuti seluruh instruksi.
- Menggunakan aplikasi dengan versi terbaru.",susah daftar autentikasi wajah hasil hasil habis ambil selfie tulis pasti handphone goyang stabil,"['susah', 'daftar', 'autentikasi', 'wajah', 'hasil', 'hasil', 'habis', 'ambil', 'selfie', 'tulis', 'pasti', 'handphone', 'goyang', 'stabil']"
bagus....,5,2022-10-25 16:50:25,0,"Hai Kak Nunuk, terima kasih atas ulasannya. Semoga blu bisa selalu memberikan yang terbaik untuk memenuhi semua kebutuhan perbankan Kakak. Jika ada kendala atau hal lain yang ingin ditanyakan, Kakak bisa langsung menghubungi Twitter @haloblu atau email haloblu@bcadigital.co.id atau telepon 1500668 (layanan 24 jam).",bagus,['bagus']
